,FAQ'S FOR ezPOZ,,,,,,
,,,,,,,
1,What problems will ezPOZ solve ?,,,,,,
Ans.,"Inventory Management Concerns :- ezPOZ provides users a clearer view of their inventory,helping them know about fast-selling products and boost their sales.
Record,Track and payments :- Easily record sales/purchases and monitor real-time sales of retail shop.You can also track the amounts which are needed to be paid/received.
Reports :- Get accurate reports on your daily sales, payments, customers, products, expenses and many more to know your business growth.
Price :- We provide the best features for your business at an affordable price which proves the worth of ezpoz.
device compatability :- This app is designed in such a way that it works on any android products.",,,,,,
,,,,,,,
2,How secure is ezPOZ to use ?,,,,,,
Ans.,ezPOZ is completely secure and provides you with a 100% secure and efficient backup system to keep your data safe with you.,,,,,,
,,,,,,,
3,"
What is the cost for support?",,,,,,
Ans.,"Support is included in the software subscription, giving you access to real employees via email, and web 9am-6pm a day, 5 days a week.",,,,,,
,,,,,,,
4,Will I also need to purchase a 4G stick so I can use the app if wifi/internet goes down?,,,,,,
Ans.,Once the user logs into ezPOZ he can make all his operations in offline mode.But to sync the data(sales/purchases/items) user needs to have an internet access.,,,,,,
,,,,,,,
5,How to download ezPOZ app.?,,,,,,
Ans.,To download ezPOZ user needs to have an account in playstore.In playstore user needs to search for ezPOZ-DOWNLOAD and start using.,,,,,,
,,,,,,,
6,What about my data if I stop subscription after one year ?,,,,,,
Ans.,The user data will not be lost even if the user has stopped subscription.If the user subscribes again he can recover his data.,,,,,,
,,,,,,,
7,Do I have to pay every year for Online application ?,,,,,,
Ans.,It depends on the subscription pack the user has opted for.,,,,,,
,,,,,,,
8,Does ezPOZ work completely in offline mode?,,,,,,
Ans.,No.The user needs to have internet connection for few operations to work like syncing the data with back-end.,,,,,,
,,,,,,,
9,How does the dashboard work ?,,,,,,
Ans,"ezPOZ has a visually impactful dashboard.It displays weekly sales in a bar chat form,top 5 items sales for last 2 days,total sales and purchases,sales/purchase returns.",,,,,,
,,,,,,,
10,How many days sales can we tracked in dashboard ?,,,,,,
Ans,A week sales can be tracked in dashboard.,,,,,,
,,,,,,,
11,How much time does it take the data to get synced ?,,,,,,
Ans,If the user's internet connection is fast then it hardly takes any time.Generally in ezPOZ the system automatically sync's the data without user needing to click on the sync button.,,,,,,
,,,,,,,
12,Can I do manual sync ?,,,,,,
Ans,Yes the user can also click on sync button.The manual sync button is available in user's profile.,,,,,,
,,,,,,,
13,What is settlement report ?,,,,,,
Ans,Settement report is the summary of the total sales amount minus the payments and opening balance for that particular day.,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,"
",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
